company,domain,job_title,location,posting_url,date_scraped
Pure Power Engineering Inc,purepowerengineering.com,Civil Engineer,"Boston, MA",https://www.glassdoor.com/job-listing/j?jl=1009995156991,2026-01-12
CMTA,cmta.com,Solar Energy Engineer - Energy Solutions,"Baltimore, MD",https://www.glassdoor.com/job-listing/j?jl=1009993433503,2026-01-12
"Green Water & Power, LLC",greenwaterpower.com,AutoCAD Drafter,"Van Nuys, CA",https://www.glassdoor.com/job-listing/j?jl=1009992865078,2026-01-12
Energy Materials Corporation,energymaterialscorporation.com,Development Engineer – Solar,"Rochester, NY",https://www.glassdoor.com/job-listing/j?jl=1009993351405,2026-01-12
TBC Corporation,tbccorporation.com,Manager of Facilities and Construction,"Palm Beach Gardens, FL",https://www.glassdoor.com/job-listing/j?jl=1009993027875,2026-01-12
Vallum Associates,vallumassociates.com,Solar Designer,"Stamford, CT",https://www.glassdoor.com/job-listing/j?jl=1009985363695,2026-01-12
TriSearch,trisearch.com,Electrical Power System Studies Engineer,"Reno, NV",https://www.glassdoor.com/job-listing/j?jl=1009983103313,2026-01-12
Longroad Energy,longroadenergy.com,"Manager, Electrical Engineering (Clipper)","Cedar Rapids, IA",https://www.glassdoor.com/job-listing/j?jl=1009974246731,2026-01-12
Wyoming Machinery Company,wyomingmachinerycompany.com,Service & Commissioning Engineer,"Casper, WY",https://www.glassdoor.com/job-listing/j?jl=1009971627132,2026-01-12
Renewable Properties,renewableproperties.com,Solar Engineering Manager,,https://www.glassdoor.com/job-listing/j?jl=1009970051686,2026-01-12
Colite Technologies,colitetechnologies.com,AutoCAD Drafter,"Columbia, SC",https://www.glassdoor.com/job-listing/j?jl=1009966696824,2026-01-12
"Herzog Energy, Inc.",herzogenergy.com,Project Engineer,"Buffalo, NY",https://www.glassdoor.com/job-listing/j?jl=1009936278055,2026-01-12
Stellavise Inc.,stellavise.com,Electrical Engineer - Solar,,https://www.glassdoor.com/job-listing/j?jl=1009936426421,2026-01-12
Action Solar,actionsolar.com,Solar Installation Quality Control Specialist,"Lehi, UT",https://www.glassdoor.com/job-listing/j?jl=1009931567410,2026-01-12
AllSeason Solar & Roofing,allseasonsolarroofing.com,Entry Level Solar Proposal Design / Estimator - In Office Position,"Absecon, NJ",https://www.glassdoor.com/job-listing/j?jl=1009914283442,2026-01-12
Constellation Energy,constellationenergy.com,Senior Development Engineer - Remote with Travel,"Washington, DC",https://www.glassdoor.com/job-listing/j?jl=1009893905249,2026-01-12
Solar Cellz USA,solarcellzusa.com,Solar Design Engineer,"Charlotte, NC",https://www.glassdoor.com/job-listing/j?jl=1009636959929,2026-01-12
Pure Energy Inc.,pureenergy.com,Residential Solar Project Designer,"San Antonio, TX",https://www.glassdoor.com/job-listing/j?jl=1009823539638,2026-01-12
First Solar,firstsolar.com,Engineer- Controls II USA (Night Shift),"Trinity, AL",https://www.glassdoor.com/job-listing/j?jl=1009799854311,2026-01-12
BaRupOn LLC,barupon.com,Solar PV Design Engineer,"Liberty, TX",https://www.glassdoor.com/job-listing/j?jl=1009778271679,2026-01-12
Sargent & Lundy,sargentlundy.com,Water Resources Engineer 3 - Energy & Industrial,"Englewood, CO, US",https://www.indeed.com/viewjob?jk=917e1a9b98de3673,2026-01-12
LOEB ELECTRIC,loebelectric.com,Associate Project Manager - Labor Estimator,"Columbus, OH, US",https://www.indeed.com/viewjob?jk=1845070826cf9152,2026-01-12
Pearce Services,pearceservices.com,Outside Plant Roadmoves Engineer,"Lafayette, LA, US",https://www.indeed.com/viewjob?jk=4895888165df78b9,2026-01-12
Atwell,atwell.com,Project Manager - Survey and Mapping,"Georgetown, DE, US",https://www.indeed.com/viewjob?jk=41006641f522882d,2026-01-12
Hatch,hatch.com,"Senior Systemwide Electrical Engineer - Rail Systems, Seattle, WA","Seattle, WA, US",https://www.indeed.com/viewjob?jk=4486749731051f06,2026-01-12
Southern Company,southerncompany.com,Civil/Structural Engineer (GPC Plant Bowen),"Cartersville, GA, US",https://www.indeed.com/viewjob?jk=40914074c6832f54,2026-01-12
Danfoss,danfoss.com,Advanced Manufacturing Engineering Intern,"Tallahassee, FL, US",https://www.indeed.com/viewjob?jk=1f809804137964b1,2026-01-12
Silfab Solar,silfabsolar.com,Process Engineer,"Fort Mill, SC, US",https://www.indeed.com/viewjob?jk=ec9f2ea678331e1e,2026-01-12
AES Corporation,aescorporation.com,Senior Structural Engineer,"Louisville, CO, US",https://www.indeed.com/viewjob?jk=91b60e7ddc0f4b8a,2026-01-12
Burns & McDonnell,burnsmcdonnell.com,Civil Engineer - Solar (Denver),"Denver, CO, US",https://www.indeed.com/viewjob?jk=0cf0f0d246879a86,2026-01-12
Lemartec,lemartec.com,Jr. Project Field Engineer,"Lubbock, TX, US",https://www.indeed.com/viewjob?jk=d140cfde5eedb908,2026-01-12
Electric Power Systems,electricpowersystems.com,Senior Power Systems Electrical Engineer,"Anchorage, AK, US",https://www.indeed.com/viewjob?jk=213d61d035c2f84d,2026-01-12
Qcells,qcells.com,Design Engineer,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=b50dbfb3c63e487f,2026-01-12
Westwood Professional Services,westwoodprofessionalservices.com,"Senior Designer, Civil Engineering","Frisco, TX, US",https://www.indeed.com/viewjob?jk=9eb177ab4fe1c0d3,2026-01-12
