company,domain,job_title,location,posting_url,linkedin_profiles,date_scraped
Pure Power Engineering Inc,purepowerengineering.com,Civil Engineer,"Boston, MA",https://www.glassdoor.com/job-listing/j?jl=1009995156991,,2026-01-12
"Green Water & Power, LLC",greenwaterpower.com,AutoCAD Drafter,"Van Nuys, CA",https://www.glassdoor.com/job-listing/j?jl=1009992865078,,2026-01-12
CMTA,cmta.com,Solar Energy Engineer - Energy Solutions,"Baltimore, MD",https://www.glassdoor.com/job-listing/j?jl=1009993433503,,2026-01-12
"Vitis Energy, LLC",vitisenergy.com,Engineering Manager,"Saint Augustine, FL",https://www.glassdoor.com/job-listing/j?jl=1009986039606,,2026-01-12
Vallum Associates,vallumassociates.com,Solar Designer,"Stamford, CT",https://www.glassdoor.com/job-listing/j?jl=1009985363695,,2026-01-12
Soltage,soltage.com,PV Solar Development Engineer,"Jersey City, NJ",https://www.glassdoor.com/job-listing/j?jl=1009973046135,,2026-01-12
Renewable Properties,renewableproperties.com,Solar Engineering Manager,,https://www.glassdoor.com/job-listing/j?jl=1009970051686,,2026-01-12
BaRupOn LLC,barupon.com,Solar PV Design Engineer,"Liberty, TX",https://www.glassdoor.com/job-listing/j?jl=1009778271679,,2026-01-12
Sundog Solar,sundogsolar.com,SOLAR DESIGN ENGINEER,"Searsport, ME",https://www.glassdoor.com/job-listing/j?jl=1009188327415,,2026-01-12
Electric Power Systems,electricpowersystems.com,Senior Power Systems Electrical Engineer,"Anchorage, AK, US",https://www.indeed.com/viewjob?jk=213d61d035c2f84d,,2026-01-12
CMTA Consulting Engineers,cmtaconsultingengineers.com,Senior Solar Energy Engineer - Energy Solutions,"Fairfax, VA, US",https://www.indeed.com/viewjob?jk=aad1565e0197c158,,2026-01-12
Kimley-Horn,kimley-horn.com,Electrical Engineer - MEP,"San Antonio, TX, US",https://www.indeed.com/viewjob?jk=074662782dbef8fc,,2026-01-12
Signal Energy Constructors,signalenergyconstructors.com,Electrical Designer,"Houston, TX, US",https://www.indeed.com/viewjob?jk=fb87aa313ceba313,,2026-01-12
Bowman,bowman.com,"Senior Design Engineer, PV Systems - Remote, US","Paonia, CO, US",https://www.indeed.com/viewjob?jk=29cbd594df6d2abf,,2026-01-12
Sunrise Power Solutions,sunrisepowersolutions.com,Solar QA/QC Project Manager,"Hauppauge, NY, US",https://www.indeed.com/viewjob?jk=1da68dc5f5a246e8,,2026-01-12
Burns & McDonnell,burnsmcdonnell.com,"Staff Electrical Engineer - Networks, Integration, & Automation (Southfield)","Southfield, MI, US",https://www.indeed.com/viewjob?jk=20a98fd7d0d04c6d,,2026-01-12
Sargent & Lundy,sargentlundy.com,Electrical Wiring Designer 1 - Energy & Industrial,"Chicago, IL, US",https://www.indeed.com/viewjob?jk=e428f28d512f237e,,2026-01-12
Henpen Corporation,henpencorporation.com,Electrical Engineer - Central Systems Design,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=7ddf61a9b4324331,,2026-01-12
"Revamp Engineering, Inc",revampengineering.com,Protection & Controls Engineer II - III,"Remote, US",https://www.indeed.com/viewjob?jk=c697311be69b468c,,2026-01-12
"Electrical Consultants, Inc.",electricalconsultants.com,CADD Drafter/Designer – Substation / Photovoltaic (PV)/ BESS / Wind,"Tigard, OR, US",https://www.indeed.com/viewjob?jk=fc15144131fec931,,2026-01-12
Westwood Professional Services,westwoodprofessionalservices.com,Electrical Graduate Engineer,"Minnetonka, MN, US",https://www.indeed.com/viewjob?jk=15e84514a1dc661c,,2026-01-12
SunEnergy1,sunenergy1.com,Senior Electrical Engineer,"Bethel, NC, US",https://www.indeed.com/viewjob?jk=dbda69fb9264b850,,2026-01-12
Sustineo Construction,sustineoconstruction.com,Senior Solar Design Engineer PE,"San Diego, CA, US",https://www.indeed.com/viewjob?jk=17ada070cd3c0106,,2026-01-12
E K Fox & Associates,ekfoxassociates.com,Lead Electrical Engineer (Specialized Design),"Chantilly, VA, US",https://www.indeed.com/viewjob?jk=c5aacd027b1e1efa,,2026-01-12
Augment Professional Services,augmentprofessionalservices.com,Assistant Solar Farm Civil Designer,"Mesa, AZ, US",https://www.indeed.com/viewjob?jk=cc5cd301faa7574a,,2026-01-12
PV Pros,pvpros.com,Civil Engineer,"Boston, MA, US",https://www.indeed.com/viewjob?jk=43d963a266365074,,2026-01-12
Zero Impact Solutions,zeroimpactsolutions.com,Electrical Design Engineer,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=7bec0f68f079a6b2,,2026-01-12
"Johnson, Mirmiran & Thompson, Inc.",johnsonmirmiranthompson.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=cc883e29a108d7d2,,2026-01-12
Clark Nexsen,clarknexsen.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=124e21fb596a5c06,,2026-01-12
JMT Technology Group,jmttechnologygroup.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=d80482358bbe0c35,,2026-01-12
AECOM,aecom.com,Senior Technical Lead - Microgrids,"Orlando, FL, US",https://www.indeed.com/viewjob?jk=061a9332b23c6e64,,2026-01-12
Atwell,atwell.com,Electrical Designer - Power & Energy,"Southfield, MI, US",https://www.indeed.com/viewjob?jk=f2590acc769938a5,,2026-01-12
"NEI Electric Power Engineering, Inc.",neielectricpowerengineering.com,Electrical Engineer (Solar Engineering),"Denver, CO, US",https://www.indeed.com/viewjob?jk=ad1134d318edc7e6,,2026-01-12
EKFox,ekfox.com,Senior Electrical Engineer (Specialized Design),"Chantilly, VA",https://www.glassdoor.com/job-listing/j?jl=1009966640107,,2026-01-12
NEI Electric Power Engineering,neielectricpowerengineering.com,Electrical Engineer (Solar Engineering),"Denver, CO",https://www.glassdoor.com/job-listing/j?jl=1009937755151,,2026-01-12
Primoris Renewable Energy,primorisrenewableenergy.com,PV Electrical Engineer,"Denver, CO",https://www.glassdoor.com/job-listing/j?jl=1009899077189,,2026-01-12
Siemens,siemens.com,Sr Project Engineer - Solutions,"Wendell, NC, US",https://www.indeed.com/viewjob?jk=eb745679204ed15f,,2026-01-12
