company,domain,job_title,location,posting_url,linkedin_search,date_scraped
Pure Power Engineering Inc,purepowerengineering.com,Civil Engineer,"Boston, MA",https://www.glassdoor.com/job-listing/j?jl=1009995156991,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Pure%20Power%20Engineering%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
"Green Water & Power, LLC",greenwaterpower.com,AutoCAD Drafter,"Van Nuys, CA",https://www.glassdoor.com/job-listing/j?jl=1009992865078,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Green%20Water%20%20Power%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
CMTA,cmta.com,Solar Energy Engineer - Energy Solutions,"Baltimore, MD",https://www.glassdoor.com/job-listing/j?jl=1009993433503,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22CMTA%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
"Vitis Energy, LLC",vitisenergy.com,Engineering Manager,"Saint Augustine, FL",https://www.glassdoor.com/job-listing/j?jl=1009986039606,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Vitis%20Energy%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Vallum Associates,vallumassociates.com,Solar Designer,"Stamford, CT",https://www.glassdoor.com/job-listing/j?jl=1009985363695,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Vallum%20Associates%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Augment Professional Services,augmentprofessionalservices.com,Assistant Solar Farm Civil Designer,"Mesa, AZ",https://www.glassdoor.com/job-listing/j?jl=1009973126358,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Augment%20Professional%20Services%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Soltage,soltage.com,PV Solar Development Engineer,"Jersey City, NJ",https://www.glassdoor.com/job-listing/j?jl=1009973046135,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Soltage%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Renewable Properties,renewableproperties.com,Solar Engineering Manager,,https://www.glassdoor.com/job-listing/j?jl=1009970051686,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Renewable%20Properties%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
TriSearch,trisearch.com,Electrical Engineer - Power Systems,"Reno, NV",https://www.glassdoor.com/job-listing/j?jl=1009949284567,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22TriSearch%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
BaRupOn LLC,barupon.com,Solar PV Design Engineer,"Liberty, TX",https://www.glassdoor.com/job-listing/j?jl=1009778271679,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22BaRupOn%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Sundog Solar,sundogsolar.com,SOLAR DESIGN ENGINEER,"Searsport, ME",https://www.glassdoor.com/job-listing/j?jl=1009188327415,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sundog%20Solar%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Electric Power Systems,electricpowersystems.com,Senior Power Systems Electrical Engineer,"Anchorage, AK, US",https://www.indeed.com/viewjob?jk=213d61d035c2f84d,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electric%20Power%20Systems%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
CMTA Consulting Engineers,cmtaconsultingengineers.com,Senior Solar Energy Engineer - Energy Solutions,"Fairfax, VA, US",https://www.indeed.com/viewjob?jk=aad1565e0197c158,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22CMTA%20Consulting%20Engineers%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Kimley-Horn,kimley-horn.com,Electrical Engineer - MEP,"San Antonio, TX, US",https://www.indeed.com/viewjob?jk=074662782dbef8fc,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Kimley-Horn%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Signal Energy Constructors,signalenergyconstructors.com,Electrical Designer,"Houston, TX, US",https://www.indeed.com/viewjob?jk=fb87aa313ceba313,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Signal%20Energy%20Constructors%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Bowman,bowman.com,"Senior Design Engineer, PV Systems - Remote, US","Paonia, CO, US",https://www.indeed.com/viewjob?jk=29cbd594df6d2abf,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Bowman%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Sunrise Power Solutions,sunrisepowersolutions.com,Solar QA/QC Project Manager,"Hauppauge, NY, US",https://www.indeed.com/viewjob?jk=1da68dc5f5a246e8,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sunrise%20Power%20Solutions%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Burns & McDonnell,burnsmcdonnell.com,"Staff Electrical Engineer - Networks, Integration, & Automation (Southfield)","Southfield, MI, US",https://www.indeed.com/viewjob?jk=20a98fd7d0d04c6d,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Burns%20%20McDonnell%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
