company,domain,job_title,location,posting_url,linkedin_managers,linkedin_role,date_scraped
CMTA,cmta.com,Solar Energy Engineer - Energy Solutions,"Louisville, KY",https://www.glassdoor.com/job-listing/j?jl=1009992795570,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22CMTA%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22CMTA%22%20%22Solar%20Energy%20Engineer%20-%20Energy%20Solutions%22,2026-01-15
"Green Water & Power, LLC",greenwaterpower.com,AutoCAD Drafter,"Van Nuys, CA",https://www.glassdoor.com/job-listing/j?jl=1009992865078,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Green%20Water%20%20Power%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Green%20Water%20%20Power%22%20%22AutoCAD%20Drafter%22,2026-01-15
Vallum Associates,vallumassociates.com,Solar Designer,"Stamford, CT",https://www.glassdoor.com/job-listing/j?jl=1009985363695,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Vallum%20Associates%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Vallum%20Associates%22%20%22Solar%20Designer%22,2026-01-15
Augment Professional Services,augmentprofessionalservices.com,Assistant Solar Farm Civil Designer,"Mesa, AZ",https://www.glassdoor.com/job-listing/j?jl=1009973126358,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Augment%20Professional%20Services%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Augment%20Professional%20Services%22%20%22Assistant%20Solar%20Farm%20Civil%20Designer%22,2026-01-15
Soltage,soltage.com,PV Solar Development Engineer,"Jersey City, NJ",https://www.glassdoor.com/job-listing/j?jl=1009973046135,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Soltage%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Soltage%22%20%22PV%20Solar%20Development%20Engineer%22,2026-01-15
TriSearch,trisearch.com,Electrical Engineer - Power Systems,"Reno, NV",https://www.glassdoor.com/job-listing/j?jl=1009949284567,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22TriSearch%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22TriSearch%22%20%22Electrical%20Engineer%20-%20Power%20Systems%22,2026-01-15
Sundog Solar,sundogsolar.com,SOLAR DESIGN ENGINEER,"Searsport, ME",https://www.glassdoor.com/job-listing/j?jl=1009188327415,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sundog%20Solar%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sundog%20Solar%22%20%22SOLAR%20DESIGN%20ENGINEER%22,2026-01-15
Northrop Grumman,northropgrumman.com,(DoD SkillBridge) Principal / Sr. Principal Electrical Engineer,"Baltimore, MD, US",https://www.indeed.com/viewjob?jk=4cd62bbd6126bd6f,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Northrop%20Grumman%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Northrop%20Grumman%22%20%22DoD%20SkillBridge%20Principal%20%20Sr%20Principal%20Electrical%20Engineer%22,2026-01-15
Brown and Caldwell,brownandcaldwell.com,Senior Electrical Engineer (remote allowed),"Seattle, WA, US",https://www.indeed.com/viewjob?jk=683aac84886ed7b4,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Brown%20and%20Caldwell%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Brown%20and%20Caldwell%22%20%22Senior%20Electrical%20Engineer%20remote%20allowed%22,2026-01-15
Signal Energy Constructors,signalenergyconstructors.com,Senior Electrical Engineer,"Chattanooga, TN, US",https://www.indeed.com/viewjob?jk=18a800d84ebd8b59,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Signal%20Energy%20Constructors%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Signal%20Energy%20Constructors%22%20%22Senior%20Electrical%20Engineer%22,2026-01-15
Moss,moss.com,"Solar Project Engineer/Senior Project Engineer, Civil","Fort Lauderdale, FL, US",https://www.indeed.com/viewjob?jk=a975315a0ab52619,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Moss%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Moss%22%20%22Solar%20Project%20EngineerSenior%20Project%20Engineer%20Civil%22,2026-01-15
Sustineo Construction,sustineoconstruction.com,Senior Solar Design Engineer PE,"San Diego, CA, US",https://www.indeed.com/viewjob?jk=898384191af64fd1,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sustineo%20Construction%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sustineo%20Construction%22%20%22Senior%20Solar%20Design%20Engineer%20PE%22,2026-01-15
CMTA Consulting Engineers,cmtaconsultingengineers.com,Senior Solar Energy Engineer - Energy Solutions,"Baltimore, MD, US",https://www.indeed.com/viewjob?jk=c9b01203ced1b534,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22CMTA%20Consulting%20Engineers%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22CMTA%20Consulting%20Engineers%22%20%22Senior%20Solar%20Energy%20Engineer%20-%20Energy%20Solutions%22,2026-01-15
Love’s Travel Stops,lovestravelstops.com,Associate Project Engineer- Electrical,"Houston, TX, US",https://www.indeed.com/viewjob?jk=b0bd857365e76d9e,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Loves%20Travel%20Stops%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Loves%20Travel%20Stops%22%20%22Associate%20Project%20Engineer-%20Electrical%22,2026-01-15
DNV KEMA Energy & Sustainability,dnvkemaenergysustainability.com,Renewable Energy Project Engineer,"Austin, TX, US",https://www.indeed.com/viewjob?jk=e0ce6f0a8ab201f1,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22DNV%20KEMA%20Energy%20%20Sustainability%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22DNV%20KEMA%20Energy%20%20Sustainability%22%20%22Renewable%20Energy%20Project%20Engineer%22,2026-01-15
Kimley-Horn,kimley-horn.com,Experienced Electrical EIT - MEP,"Fort Worth, TX, US",https://www.indeed.com/viewjob?jk=c8fa57a35dc0a2c4,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Kimley-Horn%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Kimley-Horn%22%20%22Experienced%20Electrical%20EIT%20-%20MEP%22,2026-01-15
Hays Electrical Services,hayselectricalservices.com,Senior Electrical BIM Specialist,"Houston, TX, US",https://www.indeed.com/viewjob?jk=85cb6b5d8b144a42,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Hays%20Electrical%20Services%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Hays%20Electrical%20Services%22%20%22Senior%20Electrical%20BIM%20Specialist%22,2026-01-15
Electric Power Systems,electricpowersystems.com,Senior Power Systems Electrical Engineer,"Anchorage, AK, US",https://www.indeed.com/viewjob?jk=213d61d035c2f84d,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electric%20Power%20Systems%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electric%20Power%20Systems%22%20%22Senior%20Power%20Systems%20Electrical%20Engineer%22,2026-01-15
"Revamp Engineering, Inc",revampengineering.com,Protection & Controls Engineer II - III,"Remote, US",https://www.indeed.com/viewjob?jk=c697311be69b468c,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Revamp%20Engineering%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Revamp%20Engineering%22%20%22Protection%20%20Controls%20Engineer%20II%20-%20III%22,2026-01-15
"Electrical Consultants, Inc.",electricalconsultants.com,CADD Drafter/Designer – Substation / Photovoltaic (PV)/ BESS / Wind,"Tigard, OR, US",https://www.indeed.com/viewjob?jk=fc15144131fec931,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electrical%20Consultants%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electrical%20Consultants%22%20%22CADD%20DrafterDesigner%20%20Substation%20%20Photovoltaic%20PV%20BESS%20%20Wind%22,2026-01-15
Bowman,bowman.com,"Senior Design Engineer, PV Systems - Remote, US","Paonia, CO, US",https://www.indeed.com/viewjob?jk=29cbd594df6d2abf,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Bowman%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Bowman%22%20%22Senior%20Design%20Engineer%20PV%20Systems%20-%20Remote%20US%22,2026-01-15
